scenario,api,latency_mean,latency_median,latency_p95,size_mean,size_median
C1_single_full,GraphQL,4.269983,4.3114,5.879595,574.0,574.0
C1_single_full,REST,2.355444,2.3887,3.1520649999999995,554.0,554.0
C2_single_partial,GraphQL,3.6872295000000004,3.75625,4.758664999999999,87.0,87.0
C2_single_partial,REST,2.247504,2.2584,2.9729249999999996,554.0,554.0
C3_nested_n1,GraphQL,5.0404255000000004,5.26125,6.731754999999999,13238.0,13238.0
C3_nested_n1,REST,15.7394075,16.423499999999997,18.927205,18380.0,18380.0
C4_collection,GraphQL,5.703199,5.95875,7.374789999999999,30062.0,30062.0
C4_collection,REST,2.5146010000000003,2.6363000000000003,3.3622349999999996,29943.0,29943.0
