scenario,metric,rest_mean,rest_median,rest_std,gql_mean,gql_median,gql_std,shapiro_p_rest,shapiro_p_gql,mannwhitney_U,p_value_mw,welch_t,p_value_welch,cliffs_delta,effect_size,graphql_reduction_pct,significant_5pct
C1_single_full,latency_ms,2.3554440000000003,2.3887,0.4703497554226329,4.269983,4.3114,1.432898975672541,0.0007159190811366459,1.3693918248018478e-20,1359.0,1.7584115844912893e-58,-17.953250216265058,2.364785029585941e-46,-0.93205,grande,-80.49148072173148,True
C2_single_partial,latency_ms,2.2475039999999997,2.2584,0.445711457786324,3.6872294999999995,3.75625,0.7330774684530398,0.13180916117951352,0.00010463293494513021,1725.5,2.8284553706157537e-56,-23.73218410968276,3.2618222453493595e-73,-0.913725,grande,-66.32350336521432,True
C3_nested_n1,latency_ms,15.7394075,16.423499999999997,2.92799698854325,5.0404255000000004,5.26125,1.0874038440709373,2.1383623588064608e-08,2.4019824188225254e-07,40000.0,4.830788404368584e-67,48.442903127698564,5.879246095015747e-130,1.0,grande,67.96511096903825,True
C4_collection,latency_ms,2.5146010000000003,2.6363000000000003,0.5336701252759614,5.703199,5.95875,1.3005303162233783,3.770669040655056e-06,2.193204857709938e-12,102.0,2.2249110708491208e-66,-32.077550548813946,4.29204706516229e-93,-0.9949,grande,-126.02700754845806,True
C1_single_full,size_bytes,554.0,554.0,0.0,574.0,574.0,0.0,1.0,1.0,0.0,9.182598395744396e-89,-inf,0.0,-1.0,grande,-3.6101083032490973,True
C2_single_partial,size_bytes,554.0,554.0,0.0,87.0,87.0,0.0,1.0,1.0,40000.0,9.182598395744396e-89,inf,0.0,1.0,grande,84.29602888086643,True
C3_nested_n1,size_bytes,18380.0,18380.0,0.0,13238.0,13238.0,0.0,1.0,1.0,40000.0,9.182598395744396e-89,inf,0.0,1.0,grande,27.976060935799786,True
C4_collection,size_bytes,29943.0,29943.0,0.0,30062.0,30062.0,0.0,1.0,1.0,0.0,9.182598395744396e-89,-inf,0.0,-1.0,grande,-0.39742176802591594,True
